cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
4612,CC(C)NCC1CCC2=CC(=C(C=C2N1)[N+](=O)[O-])CO,279.33,90.1,332.0,20,3,5,4,148.0
4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,293.3,63.3,361.0,22,1,4,5,160.75
4615,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,426.6,38.8,575.0,32,1,3,7,153.6
4616,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,286.71,61.7,407.0,20,2,3,1,205.5
4621,CC(C)(CC1=CC=CC=C1)N(C)C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC2=CC=CC=C2,467.6,64.09899999999999,585.0,34,1,4,12,104.0
4622,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,249.27,76.2,288.0,18,2,4,5,230.0
4624,C1=C(C(=CC(=C1O)O)O)CCN,169.18,86.7,142.0,12,4,4,2,232.0
4632,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,228.24,46.5,258.0,17,1,3,3,65.5
4633,CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N,308.4,64.8,308.0,22,1,5,11,216.5
4636,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C,260.37,44.6,345.0,19,2,2,3,182.0
4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,324.4,60.8,454.0,24,1,3,5,96.0
4649,C1=CC(=C(C=C1N)O)C(=O)O,153.14,83.6,160.0,11,3,4,1,150.5
4661,C1=CC(=CC=C1CC(=O)O)[N+](=O)[O-],181.15,83.1,203.0,13,1,4,2,154.0
4668,CCCCCCC=CCCCCCCCC(=O)O,254.41,37.3,209.0,18,1,2,13,0.2
4671,CCCCCCCCCCCCCCCC(=O)NCCO,299.5,49.3,219.0,21,2,2,16,98.5
4680,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,339.4,49.8,407.0,25,0,5,6,147.5
4684,C1=CC(=CC=C1O)Cl,128.55,20.2,66.9,8,1,1,0,42.83
4685,C1=CC(=CC=C1Cl)Cl,147.0,0.0,54.9,8,0,0,0,52.72
